State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.11600401,0.09373286,0.113943666,0.09293238,0.10774985,0.09134258,0.103483066,0.09200946,0.101313174,0.094251715,0.105214156,0.09825223
y,0.22822757,0.21899976,0.22729082,0.21750318,0.23132463,0.21829954,0.23559594,0.21654746,0.23822904,0.21440107,0.24030206,0.21305671
z,0.17634012,0.17505296,0.17364475,0.17737672,0.16987453,0.17961757,0.16776149,0.17983603,0.16760483,0.18076038,0.16803542,0.18185878
qw,0.074256115,0.075811036,0.07077773,0.06857152,0.06699481,0.061118737,0.06569264,0.057700254,0.06499103,0.054866172,0.06470543,0.053399596
qx,0.047054693,0.052251335,0.046975758,0.04809554,0.046965525,0.043211825,0.04694475,0.04035549,0.046886057,0.038811453,0.04685323,0.037937112
qy,0.05586122,0.055377547,0.05443084,0.051391788,0.053175632,0.046732236,0.05283743,0.043307994,0.052440282,0.041137807,0.05234558,0.039734583
qz,0.08566065,0.05797103,0.09675289,0.06796711,0.123468064,0.08842475,0.14424828,0.10333427,0.16084856,0.1128987,0.17463212,0.11931676
vx,0.07540074,0.06251877,0.10345208,0.07984574,0.14648278,0.12646875,0.1777746,0.16032353,0.20192605,0.18541548,0.22157641,0.20495981
vy,0.12769853,0.13088317,0.13347289,0.13630061,0.14304873,0.14387277,0.1506783,0.14927231,0.15737127,0.15484907,0.16350526,0.15995267
vz,0.08251089,0.073003076,0.08863337,0.07355615,0.09866964,0.082735516,0.10670568,0.091753125,0.11368629,0.0977565,0.11959883,0.1012423
