State,5_steps_mean,5_steps_std,5_steps_max,10_steps_mean,10_steps_std,10_steps_max,20_steps_mean,20_steps_std,20_steps_max,30_steps_mean,30_steps_std,30_steps_max,40_steps_mean,40_steps_std,40_steps_max,50_steps_mean,50_steps_std,50_steps_max,60_steps_mean,60_steps_std,60_steps_max,70_steps_mean,70_steps_std,70_steps_max,80_steps_mean,80_steps_std,80_steps_max,90_steps_mean,90_steps_std,90_steps_max,100_steps_mean,100_steps_std,100_steps_max
x,0.00013249211132893666,0.00030992034016712547,,0.001055427985730157,0.0018244707001967193,,0.007852979975765374,0.010157419478348586,,0.02438802999259396,0.027219290913409203,,0.051719693657632376,0.05342163668647492,,0.09020877049263387,0.08926469113084218,,0.14048920564534514,0.1346047257828944,,0.20309257670627237,0.18924456596554662,,0.2782338547050762,0.25344414797167497,,0.3663862860437318,0.3275128156514691,,0.46840271563115576,0.41154132645420355,
y,8.154394902118653e-05,0.0001697637291075003,,0.0007125286092939628,0.0010598378791796708,,0.005774423262619693,0.007012835896623658,,0.018034213678152805,0.020599996825379347,,0.03832647035088227,0.04185364816080333,,0.06657505082030071,0.06974112572759686,,0.10235061680091194,0.1032280056577953,,0.14524453059182332,0.1416816329089968,,0.1951714798290101,0.18483233400776738,,0.2522818315590341,0.23277463433195722,,0.3168167153074028,0.2856262877489724,
z,0.0003192519098702632,0.0006066869378411116,,0.002308604563222258,0.0034824663957463775,,0.015261743716057466,0.01775241879818385,,0.044667579136418896,0.04421385413350112,,0.09336803796748587,0.08341671899464102,,0.16330208449286,0.13677995433989149,,0.2552546482910004,0.20399763655128278,,0.36875974575390424,0.28432187690261723,,0.5034729661980913,0.3773776788990327,,0.6596937991445839,0.4827147342162798,,0.8380561471270154,0.5994242156831411,
qw,0.00791768629885468,0.015486853106608951,,0.024352974659110346,0.04117444905378688,,0.06335941026635851,0.09605608614904468,,0.10495257824262526,0.15198448117924507,,0.1463218637713352,0.19894029397291474,,0.18436527121651083,0.23195257654704787,,0.21643908387510147,0.2538519712575935,,0.24312370725871363,0.26901889013312785,,0.26582583981293423,0.28025459607997816,,0.2851599156520883,0.2887876695227077,,0.30297484597941216,0.2960471023768649,
qx,0.009783986727346759,0.0169035683566076,,0.028217067356668908,0.041216590198762504,,0.06518735206536501,0.0834398427889788,,0.09667068204666707,0.1127789613122967,,0.12291971038934402,0.13093107602342197,,0.14379260251213602,0.14111680398206572,,0.15986082544126737,0.1462338004033002,,0.17220779527962282,0.1481468436409556,,0.1823344660102042,0.1483180606959868,,0.1913550027251987,0.14776238672975006,,0.19932267983839114,0.1471902711866075,
qy,0.00984665492339069,0.017445474742588014,,0.028646793231224862,0.04207588696958934,,0.06685442288017523,0.08457094784723089,,0.0978599181129774,0.11326698693076671,,0.12108640131359258,0.1287211156307245,,0.13857303749237976,0.13533258209315283,,0.15286946632107187,0.13846935433071722,,0.1646130309780262,0.13993960357353025,,0.17452994829585344,0.14121573048890826,,0.18334572119855042,0.14178307075035795,,0.1913310720582271,0.1418897651037936,
qz,0.007426592622197052,0.014319407816233948,,0.022951602706314713,0.039479733948354696,,0.06080424203685956,0.09972528811639073,,0.10289651688638052,0.16108738827069422,,0.14823828855412294,0.21362896420809097,,0.19167534121379037,0.25359049222272123,,0.22771993052618456,0.2814458233185086,,0.25672265918256876,0.29914451977561407,,0.2808378950420621,0.3098555084616088,,0.3018676875607349,0.3169417283657976,,0.3211142319655213,0.3223327751894588,
vx,0.010698046872464713,0.022903160218618497,,0.042123845096360316,0.06475725898917409,,0.15414865850335435,0.17877970956463551,,0.30770740318498974,0.315734236489109,,0.47419971924000615,0.4562734747320813,,0.6488343611652176,0.5973360761249804,,0.8329904704840069,0.7373648729222393,,1.0231943046142657,0.8775774147001731,,1.2174261179714556,1.0188563700529927,,1.418142475965906,1.1623512229429365,,1.625768984018318,1.3088385879759046,
vy,0.00675701624511923,0.012610962007549463,,0.02963552217199284,0.0398642042854,,0.11560845426205436,0.13347522668626124,,0.2291523725904702,0.2476310722121729,,0.34976665036854104,0.3569828591182617,,0.4682519565997257,0.45476180068092914,,0.5832625651871811,0.54253359749184,,0.6960816998156506,0.6240852332881507,,0.8089135148747086,0.70211760469974,,0.9226641374665958,0.7787747579403658,,1.0371944052090338,0.8556374214384087,
vz,0.024995452824560407,0.04428150535911136,,0.08861636653704126,0.12117258052406525,,0.2876116602914447,0.296675965081518,,0.5508938320780556,0.48579548369972125,,0.8467244717739479,0.685999060885232,,1.1602420955189452,0.8922939492963874,,1.4785726427729398,1.093572005425892,,1.7943210734180455,1.2881364628169016,,2.1112020747194893,1.4758574677874,,2.4314155734031098,1.6575032433983323,,2.7538452253635226,1.8336475994677401,
