State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.00014839033,0.00018143568,0.0009773613,0.001102613,0.00529987,0.0062897983,0.013409275,0.016253207,0.025331661,0.031019542,0.041072365,0.050620105
y,0.00014299124,0.00017122591,0.00096602953,0.0010448266,0.0052162022,0.0059664184,0.013019205,0.015349519,0.024316953,0.029058516,0.039090745,0.047067888
z,0.0008353229,0.0006553188,0.0044913455,0.0034937835,0.020971468,0.016248455,0.04986373,0.038589943,0.09119221,0.0705164,0.14509916,0.11208731
qw,0.017358504,0.0172726,0.02613781,0.027458047,0.036403544,0.038820777,0.042701777,0.043009367,0.047470473,0.045595136,0.051894445,0.047855515
qx,0.0401466,0.02507802,0.049660742,0.03447238,0.05580982,0.041040264,0.058081318,0.04204058,0.059220035,0.042207018,0.05983914,0.04177847
qy,0.041476157,0.027608635,0.05196406,0.041185256,0.059394583,0.051596384,0.06270995,0.054461505,0.06445456,0.05621474,0.065610826,0.057397373
qz,0.04332252,0.027079325,0.06480464,0.045609623,0.09132755,0.07079195,0.11099972,0.08686871,0.12757045,0.10048958,0.14320663,0.11182564
vx,0.014961664,0.016719865,0.04002527,0.045061804,0.094863564,0.11377071,0.15210919,0.18550389,0.20936255,0.2568595,0.26682577,0.3295583
vy,0.014772462,0.01592254,0.03962707,0.042989563,0.09293293,0.10784318,0.14631325,0.17323907,0.19876325,0.23745485,0.2511172,0.30129185
vz,0.076077394,0.05789932,0.16688067,0.12683241,0.35091737,0.2689497,0.53706104,0.41260874,0.724099,0.55614924,0.91197014,0.70101774
