State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.00019349135058716434,0.00020369560605977208,0.0023916637038592426,0.002010457445900669,0.021468649070125696,0.01650135236074248,0.0627610166360032,0.047512821197076616,0.12108258545185478,0.09283828505770991,0.19566376388288623,0.1500205128495397
y,0.0001338576901630615,0.00011480673861841776,0.0020716779699027103,0.0016719303063996048,0.018676966419111513,0.015291100604336163,0.05252634547852628,0.04056436913915269,0.09832634965690978,0.07465166947633255,0.15413516050439566,0.11949734279097243
z,0.0005697222739063974,0.0005252914652520154,0.0040433627502993634,0.0029301708570316797,0.024379074624089114,0.015110038278549962,0.07005689303832068,0.04127473362963745,0.1401595043608833,0.08131580312515369,0.2318154894833566,0.1337495411402388
qw,0.028401225571819778,0.02327148710712931,0.1098091261791445,0.08102743626074575,0.3989302610954525,0.22217223981433104,0.7073567118442231,0.294386456300559,0.8903448854655661,0.2688254844479839,0.9332907815993452,0.21567213239571215
qx,0.06573702129355018,0.039606293679479355,0.1702349134334269,0.09836107821189206,0.29907137260908323,0.16495893255811792,0.31828868370583635,0.1666801152671919,0.31705322625690263,0.1581433192025116,0.3227979751144282,0.15880387513755773
qy,0.061609731514507285,0.04160325294493332,0.15461217772770317,0.10478078290448187,0.28451358310877234,0.18123302483415607,0.3386950283161636,0.1916593851983543,0.36458800516227696,0.18067131483671317,0.3813702539232024,0.1708287645819215
qz,0.06576368067341953,0.040605530012612884,0.17158643467975448,0.10121164199809504,0.3127353662582842,0.18266083116979423,0.36767882994220596,0.19565433520002473,0.39561912655891673,0.17252158550218968,0.41037923348939004,0.15738289885570733
vx,0.019335035639538457,0.017819907287037147,0.10813037951913669,0.08549933187788819,0.42504259596795446,0.31774770897595994,0.7406771600715931,0.549103876454923,1.0155111727426351,0.7467140972391085,1.2888252640047624,0.9248861862810074
vy,0.014524758686045606,0.011257493383554654,0.095993853119599,0.07711070789533754,0.36552111834019196,0.281280819437897,0.6103267329091487,0.4329864067077747,0.7967540171439158,0.5763565503517271,0.9800136217032572,0.7250580011901308
vz,0.048335978714567386,0.040654729519255625,0.1497430555004976,0.09578818122330221,0.47336909494475954,0.26606571687698893,0.8643332499482914,0.4678947116596866,1.2100941853330343,0.6591488089357846,1.5476580779142755,0.8407899492562735
