State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.00016793672112161404,0.00018167996483499805,0.002246759856633125,0.0019429408350857106,0.018912082280441368,0.015307429992989756,0.050396932900205256,0.03990857609266671,0.0909630902509508,0.07263490788975914,0.14206519668051182,0.11479750682009995
y,0.00013830020532399652,0.00013010422036629124,0.002085286344609067,0.001831361440523824,0.01727043348799276,0.014423122218427106,0.04450893280574884,0.035275593222397005,0.07879854077690206,0.06230467593761467,0.12206111353604014,0.09786693539659015
z,0.0008238759332663118,0.0005702730708331616,0.0051392787483368835,0.0031847886001435902,0.026026665356359408,0.015498993473971337,0.07037677558427835,0.03950904686735804,0.136163815371402,0.0751033197865444,0.22275584614289742,0.12116410425508427
qw,0.059178194972982746,0.03599232121737705,0.16376949204337846,0.11371058225773846,0.46422686464840063,0.25240083782091205,0.756021930539731,0.26516896102257076,0.8783456191719587,0.1951793373129225,0.8538551370172298,0.15147954170148206
qx,0.07231934106027528,0.045205345998866005,0.17685021504391982,0.111328971058731,0.2893526952050655,0.17396509502728583,0.2865582428963038,0.16632286874942018,0.29269919313072706,0.16400204308345825,0.2981873674556781,0.15989700322691555
qy,0.07377998881197845,0.048059679308453326,0.1819953625132646,0.11512756362250719,0.29870207674119037,0.18155668726988838,0.3013055014910107,0.17297538408160568,0.3094086308663448,0.16578402714375504,0.319387813353784,0.16485181686903194
qz,0.08005498025044316,0.04008418234466663,0.20030231387410433,0.11789084799166213,0.4096809227754526,0.264759649283483,0.5878691479614195,0.27325456605875686,0.6630342604194638,0.19999956595299992,0.6523850618381606,0.14951823158652838
vx,0.017365059654821196,0.016328260103088812,0.10115384330385502,0.08416094853801535,0.3586086787006305,0.27878002582705,0.5612730870536626,0.42442713394156867,0.7213889892397304,0.5531832483103902,0.8964170785927698,0.6928104295276734
vy,0.015065279321965304,0.012981051990334535,0.09482847475270186,0.08108822290101336,0.3232934772028638,0.2517707387404133,0.4858180578069532,0.35789881371810295,0.6139187662843014,0.4638345811798976,0.7579353308438861,0.5908280507540893
vz,0.06791384365297494,0.043552235307804485,0.17742949546442,0.10192677820815005,0.48638416449420724,0.24920686395555375,0.82785381416539,0.4207006698121139,1.1309468074540894,0.5838111040747662,1.4415279402906622,0.7404540460186375
