Metric,5_steps_mean,5_steps_std,5_steps_max,10_steps_mean,10_steps_std,10_steps_max,20_steps_mean,20_steps_std,20_steps_max,30_steps_mean,30_steps_std,30_steps_max,40_steps_mean,40_steps_std,40_steps_max,50_steps_mean,50_steps_std,50_steps_max,60_steps_mean,60_steps_std,60_steps_max,70_steps_mean,70_steps_std,70_steps_max,80_steps_mean,80_steps_std,80_steps_max,90_steps_mean,90_steps_std,90_steps_max,100_steps_mean,100_steps_std,100_steps_max
Position,0.0019803473,0.0022691942,0.010419251,0.008674621,0.009944117,0.0481688,0.035013873,0.039768122,0.21330841,0.07740055,0.08754041,0.5081642,0.13528639,0.1527659,0.91966146,0.20832294,0.23516972,1.3698367,0.29550362,0.33367434,1.9968479,0.39604077,0.44740334,2.7260773,0.50928926,0.57553023,3.5402138,0.634775,0.71703506,4.42631,0.77205634,0.87088996,5.3727307
Velocity,0.12284016,0.115925595,0.48080188,0.26672578,0.2332844,1.0788664,0.5387999,0.45080876,2.4976215,0.80024105,0.6604343,3.7924554,1.0565206,0.86679703,4.825245,1.3074865,1.0686392,6.1682696,1.5485694,1.266704,7.4173913,1.7807226,1.4590639,8.55513,2.0055225,1.6431193,9.565422,2.223345,1.8183275,10.455254,2.4353123,1.9845549,11.204961
