State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.114954226,0.09904555,0.11501902,0.09932941,0.11601832,0.09872792,0.11859504,0.09975436,0.12232848,0.10162706,0.12763108,0.103521846
y,0.25932598,0.20747577,0.25930676,0.2093248,0.26100475,0.2027034,0.2633408,0.20307735,0.26391396,0.2044498,0.2615342,0.20095037
z,0.20125785,0.17294581,0.1993033,0.17055984,0.20188442,0.17019388,0.20642021,0.17081328,0.21027127,0.17098756,0.2163331,0.17187524
qw,0.04073396,0.031967964,0.04124377,0.028385622,0.041945763,0.024973866,0.042552084,0.0240452,0.043310434,0.023404008,0.044135083,0.02294123
qx,0.060879227,0.042306848,0.06088313,0.036877993,0.06082874,0.032443237,0.06097804,0.029209042,0.061221644,0.026703969,0.061234962,0.024687065
qy,0.061994825,0.04688454,0.062106807,0.042761315,0.062216792,0.03781748,0.06316985,0.03525034,0.06433944,0.03380359,0.06532966,0.032461494
qz,0.060256317,0.042258706,0.060035277,0.037175138,0.060242187,0.032271683,0.060108162,0.029997937,0.061321642,0.028060064,0.061777,0.026989229
vx,0.15811415,0.123798266,0.16473694,0.1260109,0.18291974,0.13998823,0.20180747,0.1589595,0.22074549,0.17783809,0.24105185,0.19438262
vy,0.1556932,0.11298609,0.15757677,0.11073802,0.1595976,0.10681847,0.16156122,0.10459187,0.16377246,0.10316705,0.1657508,0.10212861
vz,0.19269879,0.14840889,0.20459038,0.14951092,0.22918981,0.15731716,0.25302726,0.16795817,0.27462268,0.17674904,0.29365516,0.18459022
