State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.00014195041252347825,0.00018412179516375904,0.0019788830773295614,0.0016718214396459134,0.02113023700450334,0.016021214943069136,0.07410139897239273,0.05336047865979538,0.16587032700876636,0.11091019049441855,0.29273709378976415,0.18319690192566251
y,0.00012032399429454514,0.00011087926464414183,0.0021771180972323914,0.001563141023419882,0.021936887834546472,0.015108253525421228,0.06682985214361487,0.04294902279951833,0.13167633651971852,0.08137867856350975,0.21149518213803786,0.1294357577170587
z,0.00018457628414758316,0.00024523309534523906,0.002228445829860175,0.001881514877937452,0.021248027323108813,0.01570240636367998,0.07142308023641249,0.049887153365292466,0.15671458696531884,0.10353442543645729,0.27524670775462057,0.17201117829647544
qw,0.02333255581541221,0.020713338146288018,0.07215933472530446,0.06392167793996478,0.21404680718096877,0.17478019281923507,0.39202153517740984,0.270725409855442,0.5575521591550131,0.3150872417604355,0.6793761680793831,0.3137138041459995
qx,0.04518688085528906,0.030262769172711635,0.12220727453315561,0.08181661684983191,0.24560604849199077,0.1540035480610183,0.312817275333354,0.17972490831995622,0.33754801041528393,0.1807459996103932,0.34869428383833817,0.17559818772362124
qy,0.04285434318688298,0.03008649427048767,0.11484328919315977,0.07992882583325962,0.23735708945609202,0.16564824129006384,0.33289885617074283,0.22036327591701074,0.39983980939157715,0.24127318154205324,0.4421171597135166,0.23979089115096747
qz,0.030274604058332707,0.022257853163812735,0.08790479089395727,0.0644315710612704,0.18625727460193386,0.13486371923602744,0.25087779145019057,0.1653143907127002,0.2938553746853317,0.17936077195231107,0.32208663253098874,0.18009319380500957
vx,0.014773048203551367,0.015772766738884808,0.09201195612005181,0.0721693918760292,0.4571070966963905,0.3349183629717596,0.9966749557770074,0.6660321131284008,1.5526025524361884,0.9359710138743749,2.067674244087991,1.1644647432541042
vy,0.013908472580672123,0.010562662158123761,0.1032400443209305,0.0727230400230064,0.4418349141558834,0.28922165748960416,0.8064298052761019,0.48223372981108065,1.119120640248934,0.633087294260754,1.379213167560447,0.77167351569893
vz,0.018264258190232627,0.02005180282526532,0.09985904707624454,0.07712516723049417,0.4480458023326995,0.31513745623141837,0.9479961539370414,0.614335472207777,1.4686995422196574,0.8727364853791411,1.956097872287837,1.0914717144873631
