State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.00062636833,0.0006128431,0.0022693563,0.0023208945,0.012076572,0.0119880065,0.034508634,0.032767814,0.07404593,0.066914275,0.13329935,0.11587367
y,0.00031991655,0.00031207793,0.001686625,0.0016748272,0.010567509,0.011856997,0.028628549,0.033194683,0.05630456,0.06536362,0.09342112,0.10861128
z,0.0009897465,0.00073923555,0.005087238,0.0036976251,0.025387133,0.016390188,0.06326841,0.039372247,0.1194837,0.0731109,0.19438125,0.1182862
qw,0.021662058,0.01967086,0.033814155,0.032980926,0.049461156,0.046661336,0.060181547,0.052950677,0.068223186,0.055844303,0.07513821,0.057365727
qx,0.047291253,0.0335081,0.06863634,0.05469392,0.08987305,0.06934756,0.099686824,0.07198985,0.10548585,0.0710971,0.10857144,0.06967489
qy,0.04603946,0.029045852,0.07279296,0.05143992,0.11386811,0.07915643,0.14818998,0.09790492,0.17835207,0.11331844,0.20383133,0.12590238
qz,0.052283265,0.031491,0.08020454,0.05246718,0.113803215,0.07156411,0.1374222,0.08334096,0.15461475,0.095589995,0.16932498,0.10402387
vx,0.030191464,0.030773949,0.08293112,0.07994114,0.23396812,0.2163173,0.4446922,0.39364436,0.712624,0.60192674,1.0213463,0.82453066
vy,0.021422151,0.018987205,0.07099658,0.075129494,0.20389959,0.23025641,0.34752616,0.39199027,0.49471432,0.55170745,0.64383936,0.7121964
vz,0.0808275,0.06265268,0.1930099,0.1284769,0.44457224,0.2711404,0.7169529,0.4296653,0.99251205,0.5912203,1.2683469,0.75866044
