State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,9.896853921665655e-05,0.00010296594524523774,0.0017029309383681584,0.0014297882014419248,0.01510310706462914,0.011225360291929954,0.04079346198889181,0.02779357944711205,0.07408696323296762,0.04879996695204126,0.11412610156334665,0.07509574738437924
y,0.00010678389372254332,0.00010686628695630863,0.001842717642306197,0.0014496034153554044,0.01583496498934197,0.011222115312321512,0.04133851701455229,0.027418689172588943,0.0731778392189934,0.04799665797937641,0.11105074026319438,0.07365546566603338
z,0.0005095184563346445,0.0004176124974783592,0.003201786793453519,0.002468714648686289,0.019897856817778,0.012415715997936668,0.06430576560332217,0.03282591803344347,0.1364110251922234,0.06188235342958833,0.23311679419393813,0.09889009760163822
qw,0.02597202718830625,0.023159041735352073,0.10188111113444842,0.07636446534655232,0.3683875674243458,0.21230213417215196,0.6601651496684817,0.29246783676957555,0.8474904525768834,0.28270220998582596,0.9113430776191465,0.23941972502601966
qx,0.07014787161676152,0.0454067293854563,0.17392929585438166,0.10951121327350306,0.3050344569689194,0.1770143846535632,0.3271276636960124,0.179266899514206,0.32724912923551963,0.17528795376941633,0.3314608000156173,0.17553562545899382
qy,0.06805470763972962,0.044804515623105126,0.1702932205276947,0.10808130536930363,0.3010677990227474,0.17541848457341705,0.324201033366846,0.17842717251147389,0.32421610238470505,0.17281393467744732,0.3286240237890993,0.17235135698947746
qz,0.05377780251403494,0.035809556216315055,0.1425308968668032,0.09591749853555118,0.28912950076917293,0.190499288617075,0.382406853470694,0.22328700069644616,0.4309338967294034,0.2167607847574851,0.4518292444272027,0.19933997091899625
vx,0.011512440159740745,0.010359709285715182,0.07841493485779757,0.06298364071795906,0.2862509955451177,0.19733177702772492,0.4551895903389269,0.28366107547282327,0.582986482027526,0.3571316759418392,0.7015929433175695,0.43905166839736437
vy,0.01239339600672797,0.010646534211821601,0.08452987727107415,0.0636674457675843,0.2949847666653165,0.19539214571003485,0.45128866895797426,0.2780258676326167,0.5646323170830484,0.3497415843111359,0.6720475229095147,0.4260771208234842
vz,0.042359157019997824,0.03278851399319496,0.11498169673573705,0.08054892918264113,0.41551041506644776,0.21538245257937616,0.8303059723935484,0.36404406858885685,1.2084336417144648,0.489614049591812,1.5734704017219137,0.6144268473974768
