State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.00035364958,0.00048321352,0.0017293477,0.002217489,0.0099472655,0.0125272665,0.027555866,0.03367816,0.05601739,0.066386804,0.09679545,0.11142651
y,0.00021148637,0.00022717714,0.001214755,0.0012941713,0.0064571286,0.0073622297,0.016394181,0.01916078,0.031085389,0.0372457,0.050746653,0.06202429
z,0.0011595256,0.0008250002,0.006106845,0.004007341,0.028923687,0.017547898,0.069403924,0.040672056,0.12729768,0.07296209,0.20318286,0.11534502
qw,0.029429507,0.014445754,0.03638648,0.020126501,0.043009978,0.02818313,0.047885656,0.03471949,0.051929288,0.039550573,0.05570624,0.043613397
qx,0.045278292,0.02729982,0.061501518,0.03913247,0.077217326,0.05070687,0.087122336,0.059030503,0.09379469,0.06523668,0.098969184,0.06857468
qy,0.04707551,0.028435469,0.063316725,0.042564884,0.08222482,0.057784177,0.0946026,0.066010505,0.10472428,0.07399874,0.11342378,0.07959312
qz,0.042693105,0.023387386,0.05502924,0.03604744,0.0664726,0.050364174,0.073948406,0.058930866,0.080684364,0.06545621,0.087208174,0.0710564
vx,0.024181258,0.028816922,0.06825959,0.083155245,0.18879485,0.23060468,0.33611125,0.39780554,0.5010878,0.5747388,0.6789722,0.7609936
vy,0.017848361,0.017188057,0.049163733,0.0530739,0.117471285,0.13344637,0.18859881,0.22160582,0.26164898,0.3152978,0.33681637,0.41295826
vz,0.10352094,0.06664576,0.2291705,0.13870369,0.48835975,0.28275025,0.7530147,0.42703775,1.0156718,0.56878954,1.2809076,0.7154953
