Metric,5_steps_mean,5_steps_std,5_steps_max,10_steps_mean,10_steps_std,10_steps_max,20_steps_mean,20_steps_std,20_steps_max,30_steps_mean,30_steps_std,30_steps_max,40_steps_mean,40_steps_std,40_steps_max,50_steps_mean,50_steps_std,50_steps_max,60_steps_mean,60_steps_std,60_steps_max,70_steps_mean,70_steps_std,70_steps_max,80_steps_mean,80_steps_std,80_steps_max,90_steps_mean,90_steps_std,90_steps_max,100_steps_mean,100_steps_std,100_steps_max
Position,0.7550883,0.5481301,3.6325986,0.7517464,0.55178547,3.6325986,0.74035794,0.5436319,3.6325986,0.73700744,0.5390919,3.6609464,0.74636275,0.5353892,3.8640428,0.7701561,0.5391933,4.0011325,0.81011,0.5564039,4.0765758,0.8585408,0.58489335,4.4116607,0.9129688,0.6239375,4.4116607,0.97495407,0.67597204,4.78783,1.0415803,0.7385371,5.05381
Velocity,0.96908593,0.607525,3.4551954,1.0277598,0.63435864,3.6022317,1.225589,0.75523657,4.0440564,1.4350454,0.9099038,5.019933,1.6148049,1.0347524,5.760585,1.7612826,1.1313072,6.827704,1.8838252,1.2088968,7.5969543,1.9828467,1.2682235,7.6299534,2.063211,1.3123707,7.6299534,2.127876,1.3461313,7.6299534,2.1834981,1.376121,7.6299534
